Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Proxy War,https://www.imdb.com/title/tt0070244/,7.4,1062,119.0,"['Action', 'Drama']",Not Rated,,IMDB,Proxy War (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 25 September 1973 (Japan)
    
See more »
    
"
Harry in Your Pocket,https://www.imdb.com/title/tt0070158/,6.4,1098,103.0,"['Comedy', 'Crime', 'Drama']",PG,,IMDB,Harry in Your Pocket (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 October 1973 (Netherlands)
    
See more »
    
"
The Spook Who Sat by the Door,https://www.imdb.com/title/tt0070726/,7.1,1099,102.0,"['Action', 'Drama', 'Crime']",PG,,IMDB,The Spook Who Sat by the Door (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 December 1981 (France)
    
See more »
    
"
L'emmerdeur,https://www.imdb.com/title/tt0072934/,7.1,2835,85.0,['Comedy'],PG,,IMDB,L'emmerdeur (1973) ,"
Country:
France
|
Italy
","
Language:
Italian
|
French
|
English
","
Release Date: 31 July 1975 (USA)
    
See more »
    
"
Baba Yaga,https://www.imdb.com/title/tt0069753/,5.8,1531,91.0,['Horror'],Not Rated,,IMDB,Baba Yaga (1973) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 20 September 1973 (Italy)
    
See more »
    
"
The Spirit of the Beehive,https://www.imdb.com/title/tt0070040/,7.9,16268,98.0,"['Drama', 'Fantasy']",Not Rated,87.0,IMDB,The Spirit of the Beehive (1973) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 14 March 1975 (Sweden)
    
See more »
    
"
Bell from Hell,https://www.imdb.com/title/tt0069838/,5.7,1155,93.0,"['Horror', 'Thriller']",Not Rated,,IMDB,Bell from Hell (1973) ,"
Country:
Spain
","
Language:
Spanish
|
English
","
Release Date: 1 October 1973 (Spain)
    
See more »
    
"
Charley Varrick,https://www.imdb.com/title/tt0069865/,7.5,10637,111.0,"['Action', 'Crime', 'Drama']",PG,,IMDB,Charley Varrick (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1973 (USA)
    
See more »
    
"
Chino,https://www.imdb.com/title/tt0069833/,6.0,1681,97.0,"['Action', 'Adventure', 'Drama']",PG,,IMDB,Chino (1973) ,"
Country:
Italy
|
Spain
|
France
|
USA
","
Language:
English
","
Release Date: 14 September 1973 (Italy)
    
See more »
    
"
Return of the Evil Dead,https://www.imdb.com/title/tt0068232/,5.9,2333,91.0,"['Action', 'Adventure', 'Fantasy']",Not Rated,,IMDB,Return of the Evil Dead (1973) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 1975 (USA)
    
See more »
    
"
Bang the Drum Slowly,https://www.imdb.com/title/tt0069765/,6.9,5230,96.0,"['Drama', 'Sport']",PG,80.0,IMDB,Bang the Drum Slowly (1973) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 March 1978 (Netherlands)
    
See more »
    
"
No Way Out,https://www.imdb.com/title/tt0069013/,6.8,1136,90.0,"['Action', 'Crime', 'Drama']",R,,IMDB,No Way Out (1973) ,"
Country:
Italy
|
France
|
Denmark
","
Language:
Italian
","
Release Date: 23 August 1973 (France)
    
See more »
    
"
Westworld,https://www.imdb.com/title/tt0070909/,7.0,50641,88.0,"['Action', 'Sci-Fi', 'Thriller']",PG,77.0,IMDB,Westworld (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 August 1973 (USA)
    
See more »
    
"
Hanzo the Razor: The Snare,https://www.imdb.com/title/tt0174707/,7.1,1035,89.0,"['Action', 'Drama']",Not Rated,,IMDB,Hanzo the Razor: The Snare (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 11 August 1973 (Japan)
    
See more »
    
"
Lone Wolf and Cub: Baby Cart in the Land of Demons,https://www.imdb.com/title/tt0143428/,7.6,3491,89.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Lone Wolf and Cub: Baby Cart in the Land of Demons (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 11 August 1973 (Japan)
    
See more »
    
"
Night Watch,https://www.imdb.com/title/tt0070444/,6.3,1142,99.0,"['Horror', 'Mystery', 'Thriller']",PG,,IMDB,Night Watch (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 10 August 1973 (USA)
    
See more »
    
"
White Lightning,https://www.imdb.com/title/tt0070915/,6.4,3919,101.0,"['Action', 'Drama', 'Crime']",PG,60.0,IMDB,White Lightning (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 October 1973 (Sweden)
    
See more »
    
"
The Stone Killer,https://www.imdb.com/title/tt0070736/,6.2,2661,95.0,"['Action', 'Crime', 'Drama']",R,,IMDB,The Stone Killer (1973) ,"
Country:
Italy
|
USA
","
Language:
English
","
Release Date: 8 August 1973 (USA)
    
See more »
    
"
Heavy Traffic,https://www.imdb.com/title/tt0070165/,6.6,2819,77.0,"['Animation', 'Comedy', 'Drama']",R,,IMDB,Heavy Traffic (1973) ,"
Country:
USA
","
Language:
English
|
Italian
|
Yiddish
","
Release Date: 17 November 1973 (Sweden)
    
See more »
    
"
Jesus Christ Superstar,https://www.imdb.com/title/tt0070239/,7.4,24672,106.0,"['Drama', 'History', 'Musical']",G,64.0,IMDB,Jesus Christ Superstar (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 August 1973 (USA)
    
See more »
    
"
American Graffiti,https://www.imdb.com/title/tt0069704/,7.4,79792,110.0,"['Comedy', 'Drama']",PG,97.0,IMDB,American Graffiti (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 August 1973 (USA)
    
See more »
    
"
The Adventures of Mowgli,https://www.imdb.com/title/tt0217590/,7.7,1602,90.0,"['Animation', 'Adventure', 'Family']",Not Rated,,IMDB,The Adventures of Mowgli (1973) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 23 July 1981 (USA)
    
See more »
    
"
Sssssss,https://www.imdb.com/title/tt0070622/,5.4,3203,99.0,"['Horror', 'Sci-Fi']",PG,,IMDB,Sssssss (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1973 (USA)
    
See more »
    
"
Female Prisoner Scorpion: Beast Stable,https://www.imdb.com/title/tt0226875/,7.0,1351,87.0,"['Crime', 'Drama', 'Thriller']",Not Rated,,IMDB,Female Prisoner Scorpion: Beast Stable (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 29 July 1973 (Japan)
    
See more »
    
"
The Last American Hero,https://www.imdb.com/title/tt0070287/,6.4,1462,95.0,"['Drama', 'Sport']",PG,74.0,IMDB,The Last American Hero (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 July 1973 (USA)
    
See more »
    
"
Pride,https://www.imdb.com/title/tt0069671/,7.9,2523,122.0,"['Drama', 'Musical']",Not Rated,,IMDB,Pride (1973) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 27 July 1973 (India)
    
See more »
    
"
Enter the Dragon,https://www.imdb.com/title/tt0070034/,7.7,94108,102.0,"['Action', 'Crime', 'Drama']",R,83.0,IMDB,Enter the Dragon (1973) ,"
Country:
Hong Kong
|
USA
","
Language:
English
|
Cantonese
","
Release Date: 19 August 1973 (USA)
    
See more »
    
"
The MacKintosh Man,https://www.imdb.com/title/tt0070351/,6.3,4084,98.0,['Thriller'],PG,,IMDB,The MacKintosh Man (1973) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 8 November 1973 (UK)
    
See more »
    
"
Cleopatra Jones,https://www.imdb.com/title/tt0069890/,5.9,2559,89.0,"['Action', 'Crime', 'Thriller']",PG,,IMDB,Cleopatra Jones (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 July 1973 (USA)
    
See more »
    
"
Cahill U.S. Marshal,https://www.imdb.com/title/tt0069834/,6.6,5762,103.0,"['Drama', 'Western']",PG,,IMDB,Cahill U.S. Marshal (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 July 1973 (USA)
    
See more »
    
"
Death Smiles on a Murderer,https://www.imdb.com/title/tt0068972/,5.9,1091,88.0,"['Horror', 'Mystery', 'Romance']",Not Rated,,IMDB,Death Smiles on a Murderer (1973) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 11 July 1973 (Italy)
    
See more »
    
"
Steptoe and Son Ride Again,https://www.imdb.com/title/tt0070734/,6.8,1061,99.0,"['Comedy', 'Sport']",,,IMDB,Steptoe and Son Ride Again (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 July 1973 (UK)
    
See more »
    
"
Sutjeska,https://www.imdb.com/title/tt0070758/,6.9,1392,130.0,['War'],PG,,IMDB,Sutjeska (1973) ,"
Country:
Yugoslavia
","
Language:
Serbo-Croatian
|
German
|
English
","
Release Date: 3 July 1973 (Yugoslavia)
    
See more »
    
"
Oklahoma Crude,https://www.imdb.com/title/tt0070472/,6.4,1031,108.0,"['Comedy', 'Drama', 'Western']",PG,,IMDB,Oklahoma Crude (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 August 1973 (Denmark)
    
See more »
    
"
Distant Thunder,https://www.imdb.com/title/tt0069737/,8.1,1198,101.0,['Drama'],Not Rated,,IMDB,Distant Thunder (1973) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 26 October 1975 (USA)
    
See more »
    
"
Hammam al-Malatily,https://www.imdb.com/title/tt0068672/,6.3,1740,94.0,['Drama'],Not Rated,,IMDB,Hammam al-Malatily (1973) ,"
Country:
Egypt
","
Language:
Arabic
","
Release Date: 2 July 1973 (Egypt)
    
See more »
    
"
Ivan Vasilievich: Back to the Future,https://www.imdb.com/title/tt0070233/,8.4,14581,93.0,"['Adventure', 'Comedy', 'Sci-Fi']",TV-G,,IMDB,Ivan Vasilievich: Back to the Future (1973) ,"
Country:
Soviet Union
","
Language:
Russian
|
German
","
Release Date: June 1973 (USA)
    
See more »
    
"
The Candy Snatchers,https://www.imdb.com/title/tt0069840/,6.4,1223,94.0,"['Crime', 'Horror', 'Thriller']",R,,IMDB,The Candy Snatchers (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1973 (USA)
    
See more »
    
"
Tenderness of the Wolves,https://www.imdb.com/title/tt0070957/,6.3,1198,82.0,"['Crime', 'Drama', 'Horror']",Not Rated,,IMDB,Tenderness of the Wolves (1973) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 12 July 1973 (West Germany)
    
See more »
    
"
The Man Who Loved Cat Dancing,https://www.imdb.com/title/tt0070363/,6.3,1271,114.0,"['Romance', 'Western']",PG,,IMDB,The Man Who Loved Cat Dancing (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 October 1973 (Sweden)
    
See more »
    
"
Belladonna of Sadness,https://www.imdb.com/title/tt0071203/,7.4,3795,86.0,"['Animation', 'Drama', 'Fantasy']",Not Rated,70.0,IMDB,Belladonna of Sadness (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 12 July 2016 (USA)
    
See more »
    
"
Scream Blacula Scream,https://www.imdb.com/title/tt0070656/,5.7,2224,96.0,"['Fantasy', 'Horror']",PG,,IMDB,Scream Blacula Scream (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 June 1973 (USA)
    
See more »
    
"
Live and Let Die,https://www.imdb.com/title/tt0070328/,6.8,94217,121.0,"['Action', 'Adventure', 'Thriller']",PG,55.0,IMDB,Live and Let Die (1973) ,"
Country:
UK
","
Language:
English
|
Hungarian
","
Release Date: 27 June 1973 (USA)
    
See more »
    
"
The Friends of Eddie Coyle,https://www.imdb.com/title/tt0070077/,7.5,8336,102.0,"['Crime', 'Drama']",R,,IMDB,The Friends of Eddie Coyle (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 June 1973 (USA)
    
See more »
    
"
Invasion of the Bee Girls,https://www.imdb.com/title/tt0070222/,5.0,2387,86.0,"['Horror', 'Sci-Fi']",R,,IMDB,Invasion of the Bee Girls (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 June 1973 (USA)
    
See more »
    
"
Dillinger,https://www.imdb.com/title/tt0069976/,7.0,4536,107.0,"['Action', 'Biography', 'Crime']",R,,IMDB,Dillinger (1973) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 8 November 1973 (Hong Kong)
    
See more »
    
"
The Legend of Hell House,https://www.imdb.com/title/tt0070294/,6.7,11680,95.0,['Horror'],PG,,IMDB,The Legend of Hell House (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 15 June 1973 (USA)
    
See more »
    
"
Battle for the Planet of the Apes,https://www.imdb.com/title/tt0069768/,5.5,28210,93.0,"['Action', 'Sci-Fi']",G,40.0,IMDB,Battle for the Planet of the Apes (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 1973 (USA)
    
See more »
    
"
Shaft in Africa,https://www.imdb.com/title/tt0070679/,5.9,2486,112.0,"['Action', 'Adventure', 'Crime']",R,,IMDB,Shaft in Africa (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 June 1973 (USA)
    
See more »
    
"
The Last of Sheila,https://www.imdb.com/title/tt0070291/,7.3,5061,120.0,"['Crime', 'Drama', 'Mystery']",PG,,IMDB,The Last of Sheila (1973) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 14 June 1973 (USA)
    
See more »
    
"
Kara Murat: Fatih'in Fermani,https://www.imdb.com/title/tt0183338/,6.1,1108,88.0,"['Action', 'Adventure', 'Fantasy']",,,IMDB,Kara Murat: Fatih'in Fermani (1973) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 June 1973 (Turkey)
    
See more »
    
"
Thriller: A Cruel Picture,https://www.imdb.com/title/tt0072285/,6.4,6594,104.0,"['Action', 'Thriller']",R,,IMDB,Thriller: A Cruel Picture (1973) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 5 June 1974 (USA)
    
See more »
    
"
The Holy Mountain,https://www.imdb.com/title/tt0071615/,7.9,35148,114.0,"['Adventure', 'Drama', 'Fantasy']",R,,IMDB,The Holy Mountain (1973) ,"
Country:
Mexico
|
USA
","
Language:
Spanish
|
English
","
Release Date: 11 July 1975 (Mexico)
    
See more »
    
"
Journey of the Hyena,https://www.imdb.com/title/tt0070820/,7.1,2330,85.0,['Drama'],Not Rated,,IMDB,Journey of the Hyena (1973) ,"
Country:
Senegal
","
Language:
Wolof
|
Arabic
|
French
","
Release Date: 21 October 1976 (Hungary)
    
See more »
    
"
Horror Hospital,https://www.imdb.com/title/tt0070190/,5.3,1307,90.0,"['Comedy', 'Horror', 'Sci-Fi']",R,,IMDB,Horror Hospital (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: April 1975 (USA)
    
See more »
    
"
Coffy,https://www.imdb.com/title/tt0069897/,6.8,9657,90.0,"['Action', 'Crime', 'Thriller']",R,,IMDB,Coffy (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: May 1973 (USA)
    
See more »
    
"
A Touch of Class,https://www.imdb.com/title/tt0070819/,6.5,2702,106.0,"['Comedy', 'Romance']",PG,,IMDB,A Touch of Class (1973) ,"
Country:
UK
","
Language:
English
|
Spanish
","
Release Date: 25 May 1973 (UK)
    
See more »
    
"
Sanatorium pod klepsydra,https://www.imdb.com/title/tt0070628/,7.7,3267,124.0,"['Drama', 'Fantasy', 'Horror']",,,IMDB,Sanatorium pod klepsydra (1973) ,"
Country:
Poland
","
Language:
Polish
|
Yiddish
|
Hebrew
|
Latin
","
Release Date: 12 December 1973 (Poland)
    
See more »
    
"
Emperor of the North,https://www.imdb.com/title/tt0070030/,7.3,5533,118.0,"['Action', 'Adventure', 'Drama']",PG,,IMDB,Emperor of the North (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 May 1973 (USA)
    
See more »
    
"
Pigs,https://www.imdb.com/title/tt0070537/,4.7,1004,80.0,['Horror'],R,,IMDB,Pigs (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 May 1973 (USA)
    
See more »
    
"
Pat Garrett & Billy the Kid,https://www.imdb.com/title/tt0070518/,7.3,17657,122.0,"['Biography', 'Drama', 'Western']",R,53.0,IMDB,Pat Garrett & Billy the Kid (1973) ,"
Country:
USA
|
Mexico
","
Language:
English
","
Release Date: 23 May 1973 (USA)
    
See more »
    
"
La Grande Bouffe,https://www.imdb.com/title/tt0070130/,7.2,11636,130.0,"['Comedy', 'Drama']",,,IMDB,La Grande Bouffe (1973) ,"
Country:
France
|
Italy
","
Language:
French
|
Italian
","
Release Date: 22 May 1973 (France)
    
See more »
    
"
Ana y los lobos,https://www.imdb.com/title/tt0068207/,7.5,1272,100.0,['Drama'],,,IMDB,Ana y los lobos (1973) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 18 May 2018 (USA)
    
See more »
    
"
The Mother and the Whore,https://www.imdb.com/title/tt0070359/,8.0,4833,210.0,"['Drama', 'Romance']",,,IMDB,The Mother and the Whore (1973) ,"
Country:
France
","
Language:
French
","
Release Date: 17 May 1973 (France)
    
See more »
    
"
The Forgotten,https://www.imdb.com/title/tt0069994/,5.1,2797,89.0,"['Horror', 'Thriller']",R,,IMDB,The Forgotten (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1973 (USA)
    
See more »
    
"
The Day of the Jackal,https://www.imdb.com/title/tt0069947/,7.8,36385,143.0,"['Crime', 'Drama', 'Thriller']",PG,80.0,IMDB,The Day of the Jackal (1973) ,"
Country:
UK
|
France
","
Language:
English
|
Italian
|
French
","
Release Date: 30 July 1973 (USA)
    
See more »
    
"
Day for Night,https://www.imdb.com/title/tt0070460/,8.0,19682,116.0,"['Comedy', 'Drama', 'Romance']",PG,,IMDB,Day for Night (1973) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Italian
","
Release Date: 7 September 1973 (USA)
    
See more »
    
"
Electra Glide in Blue,https://www.imdb.com/title/tt0070022/,7.2,4648,114.0,"['Crime', 'Drama', 'Mystery']",PG,,IMDB,Electra Glide in Blue (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 October 1973 (France)
    
See more »
    
"
Zanjeer,https://www.imdb.com/title/tt0070947/,7.6,3550,145.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Zanjeer (1973) ,"
Country:
India
","
Language:
Hindi
|
Urdu
","
Release Date: 11 May 1973 (USA)
    
See more »
    
"
Fantastic Planet,https://www.imdb.com/title/tt0070544/,7.8,23579,72.0,"['Animation', 'Sci-Fi']",PG,,IMDB,Fantastic Planet (1973) ,"
Country:
France
|
Czechoslovakia
","
Language:
French
|
Czech
","
Release Date: 1 December 1973 (USA)
    
See more »
    
"
The Castle of Purity,https://www.imdb.com/title/tt0068348/,7.7,1285,110.0,['Drama'],,,IMDB,The Castle of Purity (1973) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: April 1974 (USA)
    
See more »
    
"
O Lucky Man!,https://www.imdb.com/title/tt0070464/,7.7,7429,178.0,"['Comedy', 'Drama', 'Fantasy']",R,,IMDB,O Lucky Man! (1973) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 20 June 1973 (USA)
    
See more »
    
"
Messiah of Evil,https://www.imdb.com/title/tt0071396/,6.5,2968,90.0,['Horror'],R,,IMDB,Messiah of Evil (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 May 1973 (USA)
    
See more »
    
"
The Last House on Dead End Street,https://www.imdb.com/title/tt0076295/,5.3,1815,78.0,['Horror'],R,,IMDB,The Last House on Dead End Street (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 May 1977 (USA)
    
See more »
    
"
Lemora: A Child's Tale of the Supernatural,https://www.imdb.com/title/tt0070300/,6.3,1950,80.0,"['Fantasy', 'Horror', 'Thriller']",PG,49.0,IMDB,Lemora: A Child's Tale of the Supernatural (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 April 1973 (USA)
    
See more »
    
"
The Bride,https://www.imdb.com/title/tt0070099/,7.8,1207,92.0,['Drama'],,,IMDB,The Bride (1973) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: April 1973 (Turkey)
    
See more »
    
"
Hiroshima Death Match,https://www.imdb.com/title/tt0070245/,7.6,1290,100.0,"['Action', 'Crime', 'Drama']",Not Rated,,IMDB,Hiroshima Death Match (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 28 April 1973 (Japan)
    
See more »
    
"
Horror from the Tomb,https://www.imdb.com/title/tt0070039/,5.6,1134,88.0,['Horror'],R,,IMDB,Horror from the Tomb (1973) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: February 1975 (USA)
    
See more »
    
"
